jobID,  modelID,  status,  completionReason,  startTime,  endTime,  runtime(s),  expDesc,  numRecords,  modelParams|clParams|alpha,  modelParams|tpParams|minThreshold,  modelParams|tpParams|activationThreshold,  modelParams|tpParams|pamLength,  modelParams|spParams|synPermInactiveDec,  multiStepBestPredictions:multiStep:errorMetric='avg_err':steps=[1]:window=1000:field=object, 
1011,  4960,  completed,  eof,  2014-05-01 23:44:40,  2014-05-01 23:44:40,  0,  modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|spParams|synPermInactiveDec_0.05015,  6,  0.05005,  11,  14,  3,  0.05015,  0.6, 
1011,  5031,  completed,  eof,  2014-05-01 23:44:40,  2014-05-01 23:44:40,  0,  modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|spParams|synPermInactiveDec_0.05015,  6,  0.05005,  11,  14,  3,  0.05015,  0.6, 
1011,  5092,  completed,  eof,  2014-05-01 23:44:40,  2014-05-01 23:44:40,  0,  modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|spParams|synPermInactiveDec_0.1,  6,  0.0001,  9,  12,  1,  0.1,  0.6, 
1011,  5143,  completed,  eof,  2014-05-01 23:44:40,  2014-05-01 23:44:40,  0,  modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|spParams|synPermInactiveDec_0.1,  6,  0.0001,  9,  12,  1,  0.1,  0.6, 
1011,  5193,  completed,  eof,  2014-05-01 23:44:40,  2014-05-01 23:44:40,  0,  modelParams|clParams|alpha_0.1.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|spParams|synPermInactiveDec_0.0003,  6,  0.1,  12,  16,  5,  0.0003,  0.8, 
1011,  5195,  completed,  eof,  2014-05-01 23:44:40,  2014-05-01 23:44:41,  1,  modelParams|clParams|alpha_0.1.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|spParams|synPermInactiveDec_0.0003,  6,  0.1,  12,  16,  5,  0.0003,  0.8, 
1011,  5236,  completed,  eof,  2014-05-01 23:44:40,  2014-05-01 23:44:41,  1,  modelParams|clParams|alpha_0.025075.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|spParams|synPermInactiveDec_0.075075,  6,  0.025075,  10,  13,  2,  0.075075,  0.6, 
1011,  5287,  completed,  eof,  2014-05-01 23:44:41,  2014-05-01 23:44:41,  0,  modelParams|clParams|alpha_0.025075.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|spParams|synPermInactiveDec_0.075075,  6,  0.025075,  10,  13,  2,  0.075075,  0.6, 
1011,  5338,  completed,  eof,  2014-05-01 23:44:41,  2014-05-01 23:44:41,  0,  modelParams|clParams|alpha_0.075025.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_15.modelParams|tpParams|pamLength_4.modelParams|spParams|synPermInactiveDec_0.025225,  6,  0.075025,  11,  15,  4,  0.025225,  0.6, 
1011,  5380,  completed,  eof,  2014-05-01 23:44:41,  2014-05-01 23:44:41,  0,  modelParams|clParams|alpha_0.075025.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_15.modelParams|tpParams|pamLength_4.modelParams|spParams|synPermInactiveDec_0.025225,  6,  0.075025,  11,  15,  4,  0.025225,  0.6, 
1011,  5404,  completed,  eof,  2014-05-01 23:44:41,  2014-05-01 23:44:41,  0,  modelParams|clParams|alpha_0.055045.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|spParams|synPermInactiveDec_0.055135,  6,  0.055045,  11,  14,  3,  0.055135,  0.6, 
1011,  5411,  completed,  eof,  2014-05-01 23:44:41,  2014-05-01 23:44:41,  0,  modelParams|clParams|alpha_0.055045.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|spParams|synPermInactiveDec_0.055135,  6,  0.055045,  11,  14,  3,  0.055135,  0.6, 
1011,  5412,  completed,  eof,  2014-05-01 23:44:41,  2014-05-01 23:44:42,  1,  modelParams|clParams|alpha_0.0355647148893.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_2.modelParams|spParams|synPermInactiveDec_0.0545408434444,  6,  0.0355647148893,  11,  14,  2,  0.0545408434444,  0.6, 
1011,  5414,  completed,  eof,  2014-05-01 23:44:41,  2014-05-01 23:44:42,  1,  modelParams|clParams|alpha_0.0355647148893.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_2.modelParams|spParams|synPermInactiveDec_0.0545408434444,  6,  0.0355647148893,  11,  14,  2,  0.0545408434444,  0.6, 
1011,  5421,  completed,  eof,  2014-05-01 23:44:42,  2014-05-01 23:44:42,  0,  modelParams|clParams|alpha_0.0545452851107.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|spParams|synPermInactiveDec_0.0457591565556,  6,  0.0545452851107,  11,  14,  3,  0.0457591565556,  0.6, 
1011,  5426,  completed,  eof,  2014-05-01 23:44:42,  2014-05-01 23:44:42,  0,  modelParams|clParams|alpha_0.0545452851107.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|spParams|synPermInactiveDec_0.0457591565556,  6,  0.0545452851107,  11,  14,  3,  0.0457591565556,  0.6, 
1011,  5429,  completed,  eof,  2014-05-01 23:44:42,  2014-05-01 23:44:42,  0,  modelParams|clParams|alpha_0.0403098574447.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|spParams|synPermInactiveDec_0.0498529217222,  6,  0.0403098574447,  11,  14,  3,  0.0498529217222,  0.6, 
1011,  5431,  completed,  eof,  2014-05-01 23:44:42,  2014-05-01 23:44:42,  0,  modelParams|clParams|alpha_0.0403098574447.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|spParams|synPermInactiveDec_0.0498529217222,  6,  0.0403098574447,  11,  14,  3,  0.0498529217222,  0.6, 
1011,  5441,  completed,  eof,  2014-05-01 23:44:42,  2014-05-01 23:44:42,  0,  modelParams|clParams|alpha_0.0498001425553.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|spParams|synPermInactiveDec_0.0504470782778,  6,  0.0498001425553,  10,  14,  3,  0.0504470782778,  0.6, 
1011,  5442,  completed,  eof,  2014-05-01 23:44:42,  2014-05-01 23:44:42,  0,  modelParams|clParams|alpha_0.0498001425553.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|spParams|synPermInactiveDec_0.0504470782778,  6,  0.0498001425553,  10,  14,  3,  0.0504470782778,  0.6, 
1011,  5443,  completed,  eof,  2014-05-01 23:44:42,  2014-05-01 23:44:43,  1,  modelParams|clParams|alpha_0.0509293848252.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|spParams|synPermInactiveDec_0.0511265063173,  6,  0.0509293848252,  11,  14,  3,  0.0511265063173,  0.6, 
1011,  5444,  completed,  eof,  2014-05-01 23:44:42,  2014-05-01 23:44:43,  1,  modelParams|clParams|alpha_0.0509293848252.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|spParams|synPermInactiveDec_0.0511265063173,  6,  0.0509293848252,  11,  14,  3,  0.0511265063173,  0.6, 
1011,  5445,  completed,  eof,  2014-05-01 23:44:42,  2014-05-01 23:44:43,  1,  modelParams|clParams|alpha_0.0468033849804.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|spParams|synPermInactiveDec_0.0506208978964,  6,  0.0468033849804,  11,  14,  3,  0.0506208978964,  0.6, 
