jobID,  modelID,  status,  completionReason,  startTime,  endTime,  runtime(s),  expDesc,  numRecords,  modelParams|clParams|alpha,  modelParams|tpParams|minThreshold,  modelParams|tpParams|activationThreshold,  modelParams|tpParams|pamLength,  modelParams|spParams|synPermInactiveDec,  multiStepBestPredictions:multiStep:errorMetric='avg_err':steps=[1, 2, 3, 4, 5, 6]:window=1000:field=word, 
1292,  103687,  completed,  eof,  2014-06-03 05:58:34,  2014-06-03 06:01:43,  189,  modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|spParams|synPermInactiveDec_0.05015,  3064,  0.05005,  11,  14,  3,  0.05015,  0.977166666667, 
1292,  103688,  completed,  eof,  2014-06-03 05:58:35,  2014-06-03 06:01:29,  174,  modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|spParams|synPermInactiveDec_0.1,  3064,  0.0001,  9,  12,  1,  0.1,  0.961166666667, 
1292,  103689,  completed,  eof,  2014-06-03 05:58:35,  2014-06-03 06:04:52,  377,  modelParams|clParams|alpha_0.1.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|spParams|synPermInactiveDec_0.0003,  3064,  0.1,  12,  16,  5,  0.0003,  0.978166666667, 
1292,  103700,  completed,  eof,  2014-06-03 05:58:35,  2014-06-03 06:01:32,  177,  modelParams|clParams|alpha_0.025075.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|spParams|synPermInactiveDec_0.075075,  3064,  0.025075,  10,  13,  2,  0.075075,  0.975166666667, 
1292,  103701,  completed,  eof,  2014-06-03 06:01:29,  2014-06-03 06:04:43,  194,  modelParams|clParams|alpha_0.075025.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_15.modelParams|tpParams|pamLength_4.modelParams|spParams|synPermInactiveDec_0.025225,  3064,  0.075025,  11,  15,  4,  0.025225,  0.976166666667, 
1292,  103702,  completed,  eof,  2014-06-03 06:01:32,  2014-06-03 06:04:31,  179,  modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|spParams|synPermInactiveDec_0.095015,  3064,  0.0001,  9,  12,  1,  0.095015,  0.961666666667, 
1292,  103703,  completed,  eof,  2014-06-03 06:01:43,  2014-06-03 06:04:47,  184,  modelParams|clParams|alpha_0.0145852851107.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_2.modelParams|spParams|synPermInactiveDec_0.0956091565556,  3064,  0.0145852851107,  9,  12,  2,  0.0956091565556,  0.97, 
1292,  103704,  completed,  eof,  2014-06-03 06:04:31,  2014-06-03 06:07:29,  178,  modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|spParams|synPermInactiveDec_0.0903270782778,  3064,  0.0001,  9,  12,  1,  0.0903270782778,  0.9625, 
1292,  103705,  completed,  eof,  2014-06-03 06:04:43,  2014-06-03 06:07:40,  177,  modelParams|clParams|alpha_0.00934042766598.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|spParams|synPermInactiveDec_0.0909212348334,  3064,  0.00934042766598,  9,  12,  1,  0.0909212348334,  0.97, 
1292,  103706,  completed,  eof,  2014-06-03 06:04:47,  2014-06-03 06:07:43,  176,  modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|spParams|synPermInactiveDec_0.0990234936827,  3064,  0.0001,  9,  12,  1,  0.0990234936827,  0.960666666667, 
1292,  103707,  completed,  eof,  2014-06-03 06:04:52,  2014-06-03 06:07:45,  173,  modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|spParams|synPermInactiveDec_0.0903270782778,  3064,  0.0001,  9,  12,  1,  0.0903270782778,  0.9625, 
1292,  103708,  completed,  eof,  2014-06-03 06:07:29,  2014-06-03 06:10:21,  172,  modelParams|clParams|alpha_0.0140855702213.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|spParams|synPermInactiveDec_0.0862333131112,  3064,  0.0140855702213,  9,  12,  1,  0.0862333131112,  0.973, 
1292,  103709,  completed,  killed,  2014-06-03 06:07:40,  2014-06-03 06:10:23,  163,  modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|spParams|synPermInactiveDec_0.1,  2900,  0.0001,  9,  12,  1,  0.1,  0.950166666667, 
1292,  103710,  completed,  killed,  2014-06-03 06:07:43,  2014-06-03 06:10:25,  162,  modelParams|clParams|alpha_0.00955932154175.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|spParams|synPermInactiveDec_0.084036216425,  2950,  0.00955932154175,  9,  12,  1,  0.084036216425,  0.965666666667, 
1292,  103711,  completed,  killed,  2014-06-03 06:07:46,  2014-06-03 06:10:25,  159,  modelParams|clParams|alpha_0.0146376163723.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|spParams|synPermInactiveDec_0.0842031405774,  2850,  0.0146376163723,  9,  13,  2,  0.0842031405774,  0.974166666667, 
